STORE Issues 1 Billion Tokens by 2030,,,
Date,Current Allocated,Projected Allocated,Total Authorized
May - 2017,"1,979,167",,"1,000,000,000"
Jun - 2017,"3,958,333",,"1,000,000,000"
Jul - 2017,"7,806,250",,"1,000,000,000"
Aug - 2017,"24,108,333",,"1,000,000,000"
Sep - 2017,"26,710,417",,"1,000,000,000"
Oct - 2017,"30,062,500",,"1,000,000,000"
Nov - 2017,"32,789,583",,"1,000,000,000"
Dec - 2017,"102,370,453",,"1,000,000,000"
Jan - 2018,"105,097,536",,"1,000,000,000"
Feb - 2018,"107,824,619",,"1,000,000,000"
Mar - 2018,"110,593,369",,"1,000,000,000"
Apr - 2018,"113,388,161",,"1,000,000,000"
May - 2018,"116,362,319",,"1,000,000,000"
Jun - 2018,"120,227,187",,"1,000,000,000"
Jul - 2018,"123,878,457",,"1,000,000,000"
Aug - 2018,"127,052,924",,"1,000,000,000"
Sep - 2018,"129,970,504",,"1,000,000,000"
Oct - 2018,"133,038,786",,"1,000,000,000"
Nov - 2018,"136,237,766",,"1,000,000,000"
Dec - 2018,"200,469,293",,"1,000,000,000"
Jan - 2019,"206,366,709",,"1,000,000,000"
Feb - 2019,"209,555,234",,"1,000,000,000"
Mar - 2019,"213,368,759",,"1,000,000,000"
Apr - 2019,"216,860,578",,"1,000,000,000"
May - 2019,"220,367,037",,"1,000,000,000"
Jun - 2019,"223,693,669",,"1,000,000,000"
Jul - 2019,"228,478,764",,"1,000,000,000"
Aug - 2019,"231,665,754",,"1,000,000,000"
Sep - 2019,"234,939,595",,"1,000,000,000"
Oct - 2019,"238,319,449",,"1,000,000,000"
Nov - 2019,"241,565,033",,"1,000,000,000"
Dec - 2019,"276,185,691",,"1,000,000,000"
Jan - 2020,"315,776,652",,"1,000,000,000"
Feb - 2020,"319,090,267",,"1,000,000,000"
Mar - 2020,"321,914,597",,"1,000,000,000"
Apr - 2020,"324,676,511",,"1,000,000,000"
May - 2020,"327,438,425",,"1,000,000,000"
Jun - 2020,"330,221,173",,"1,000,000,000"
Jul - 2020,"333,003,920",,"1,000,000,000"
Aug - 2020,"338,342,784",,"1,000,000,000"
Sep - 2020,"342,495,212",,"1,000,000,000"
Oct - 2020,"346,096,034",,"1,000,000,000"
Nov - 2020,"349,690,996",,"1,000,000,000"
Dec - 2020,"383,454,287",,"1,000,000,000"
Jan - 2021,"392,183,834",,"1,000,000,000"
Feb - 2021,"413,616,534",,"1,000,000,000"
Mar - 2021,"441,028,223",,"1,000,000,000"
Apr - 2021,"453,691,761",,"1,000,000,000"
May - 2021,"461,414,880",,"1,000,000,000"
Jun - 2021,"465,492,484",,"1,000,000,000"
Jul - 2021,"469,501,148",,"1,000,000,000"
Aug - 2021,"482,764,205",,"1,000,000,000"
