Inflationary Rewards Plus Emissions for Major Protocols - 100 Years,,,,,,,,,
Year,Bitcoin,Ethereum,Cosmos,Tezos,EOS,STORE,Polkadot,Decred,Bitcoin (theoretical)
1,"1,623,400","60,000,000","213,333,333","763,306,930","915,000,000","1,000,000,000","965,792,000","4,325,700","2,625,000"
2,"3,403,850","16,140,218",0,"42,048,000","45,750,000","10,000,000","52,750,000","2,594,897","2,625,000"
3,"2,972,800","11,321,889","11,200,000","42,048,000","9,607,500","10,416,667","138,458,000","2,191,073","2,625,000"
4,"2,613,125","9,168,746","15,717,334","42,048,000","9,703,575","15,416,667","115,000,000","1,850,093","2,625,000"
5,"1,590,625","7,477,107","16,817,546","42,048,000","9,800,611","20,000,000","127,000,000","1,562,176","1,312,500"
6,"1,466,775","4,893,074","17,994,775","42,048,000","9,898,617","20,000,000","143,000,000","1,319,067","1,312,500"
7,"1,361,400","5,123,049","19,254,409","42,048,000","9,997,603","20,000,000","122,000,000","1,173,624","1,312,500"
8,"1,045,375","5,363,832","20,602,218","42,048,000","10,097,579","20,000,000","166,400,000","931,148","1,312,500"
9,"697,150","5,615,932","22,044,373","42,048,000","10,198,555","20,000,000","183,040,000","786,240","656,250"
10,"700,000","5,879,880","23,587,480","42,048,000","10,300,540","20,000,000","201,344,000","663,884","656,250"
11,"629,082","6,156,236","25,238,602","42,048,000","10,403,546","20,000,000","221,478,400","560,568","656,250"
12,"420,003","6,445,578","27,005,305","42,048,000","10,507,581","20,000,000","243,626,240","473,332","656,250"
13,"312,904","6,748,520","28,895,676","42,048,000","10,612,657","20,000,000","267,988,864","399,670","328,125"
14,"318,189","7,065,701","30,918,374","42,048,000","10,718,784","20,000,000","294,787,750","337,473","328,125"
15,"323,564","7,397,789","33,082,660","42,048,000","10,825,971","20,000,000","324,266,525","300,262","328,125"
16,"329,030","7,745,485","35,398,446","42,048,000","10,934,231","20,000,000","356,693,178","238,226","328,125"
17,"152,516","8,109,523","37,876,337","42,048,000","11,043,574","20,000,000","392,362,496","201,154","164,063"
18,"153,691","8,490,670","40,527,681","42,048,000","11,154,009","20,000,000","431,598,745","169,849","164,063"
19,"154,873","8,889,732","43,364,618","42,048,000","11,265,549","20,000,000","474,758,620","143,417","164,063"
20,"156,067","9,307,549","46,400,142","42,048,000","11,378,205","20,000,000","522,234,482","121,098","164,063"
21,"71,485","9,745,004","49,648,151","42,048,000","11,491,987","20,000,000","574,457,930","102,252","82,031"
22,"71,736","10,203,019","53,123,523","42,048,000","11,606,907","20,000,000","631,903,723","86,340","82,031"
23,"71,987","10,682,561","56,842,168","42,048,000","11,722,976","20,000,000","695,094,095","72,903","82,031"
24,"72,240","11,184,641","60,821,121","42,048,000","11,840,206","20,000,000","764,603,505","33,884","82,031"
25,"31,067","11,710,320","65,078,599","42,048,000","11,958,608","20,000,000","841,063,855",0,"41,016"
26,"31,115","12,260,704","69,634,101","42,048,000","12,078,194","20,000,000","925,170,241",0,"41,016"
