Date,Supply,Issuance Rate
7/30/2015,,
7/31/2015,"72,085,498",20%
08/01/2015,"72,113,204",18%
08/02/2015,"72,141,428",17%
08/03/2015,"72,169,404",16%
08/04/2015,"72,197,883",16%
08/05/2015,"72,225,411",16%
08/06/2015,"72,252,487",16%
08/07/2015,"72,279,925",16%
08/08/2015,"72,307,868",16%
08/09/2015,"72,335,046",16%
08/10/2015,"72,362,864",16%
08/11/2015,"72,390,891",15%
08/12/2015,"72,418,262",15%
8/13/2015,"72,446,531",15%
8/14/2015,"72,477,637",16%
8/15/2015,"72,506,150",16%
8/16/2015,"72,533,244",15%
8/17/2015,"72,561,363",15%
8/18/2015,"72,587,526",15%
8/19/2015,"72,614,808",15%
8/20/2015,"72,635,865",15%
8/21/2015,"72,662,556",15%
8/22/2015,"72,690,107",15%
8/23/2015,"72,716,362",15%
8/24/2015,"72,743,696",15%
8/25/2015,"72,770,432",15%
8/26/2015,"72,796,570",15%
8/27/2015,"72,821,102",15%
8/28/2015,"72,845,328",15%
8/29/2015,"72,867,853",15%
8/30/2015,"72,889,306",14%
8/31/2015,"72,910,600",14%
09/01/2015,"72,930,943",14%
09/02/2015,"72,949,330",14%
09/03/2015,"72,966,711",14%
09/04/2015,"72,989,793",14%
09/05/2015,"73,015,422",14%
09/06/2015,"73,041,590",14%
09/07/2015,"73,067,051",14%
09/08/2015,"73,092,943",14%
09/09/2015,"73,119,371",14%
09/10/2015,"73,145,815",13%
09/11/2015,"73,173,055",13%
09/12/2015,"73,199,456",13%
9/13/2015,"73,225,627",13%
9/14/2015,"73,251,215",13%
9/15/2015,"73,276,831",13%
9/16/2015,"73,303,149",13%
9/17/2015,"73,328,584",13%
9/18/2015,"73,354,486",13%
9/19/2015,"73,381,666",13%
9/20/2015,"73,409,648",13%
9/21/2015,"73,436,300",13%
9/22/2015,"73,462,671",13%
9/23/2015,"73,489,751",13%
9/24/2015,"73,516,137",13%
9/25/2015,"73,543,140",13%
9/26/2015,"73,569,051",13%
9/27/2015,"73,594,062",13%
9/28/2015,"73,618,776",13%
9/29/2015,"73,643,144",13%
9/30/2015,"73,668,238",13%
10/01/2015,"73,695,660",14%
10/02/2015,"73,722,573",14%
10/03/2015,"73,749,027",14%
10/04/2015,"73,774,507",14%
10/05/2015,"73,800,644",14%
10/06/2015,"73,825,681",14%
10/07/2015,"73,851,814",14%
10/08/2015,"73,878,596",14%
10/09/2015,"73,904,044",14%
10/10/2015,"73,929,544",14%
10/11/2015,"73,956,054",14%
10/12/2015,"73,982,854",14%
10/13/2015,"74,009,523",14%
10/14/2015,"74,035,398",14%
10/15/2015,"74,061,009",14%
10/16/2015,"74,086,450",14%
10/17/2015,"74,112,901",14%
10/18/2015,"74,138,749",14%
10/19/2015,"74,164,716",14%
10/20/2015,"74,190,908",14%
10/21/2015,"74,216,955",14%
10/22/2015,"74,242,286",14%
10/23/2015,"74,269,844",14%
10/24/2015,"74,296,959",14%
10/25/2015,"74,323,773",14%
10/26/2015,"74,349,689",14%
10/27/2015,"74,377,215",14%
10/28/2015,"74,403,563",14%
10/29/2015,"74,431,070",14%
10/30/2015,"74,458,794",14%
10/31/2015,"74,486,542",14%
11/01/2015,"74,514,722",14%
11/02/2015,"74,541,856",14%
11/03/2015,"74,569,462",14%
11/04/2015,"74,597,179",14%
11/05/2015,"74,624,470",14%
11/06/2015,"74,651,892",14%
11/07/2015,"74,678,608",14%
11/08/2015,"74,705,897",14%
11/09/2015,"74,732,956",14%
11/10/2015,"74,760,400",14%
11/11/2015,"74,788,227",14%
11/12/2015,"74,816,251",14%
11/13/2015,"74,844,436",14%
11/14/2015,"74,872,794",14%
11/15/2015,"74,900,914",14%
11/16/2015,"74,928,309",14%
11/17/2015,"74,956,103",14%
11/18/2015,"74,983,355",14%
11/19/2015,"75,009,918",14%
11/20/2015,"75,035,049",14%
11/21/2015,"75,061,831",14%
11/22/2015,"75,088,820",14%
11/23/2015,"75,116,092",14%
11/24/2015,"75,142,940",14%
11/25/2015,"75,169,412",14%
11/26/2015,"75,195,951",14%
11/27/2015,"75,223,837",14%
11/28/2015,"75,251,045",14%
11/29/2015,"75,278,393",14%
11/30/2015,"75,305,749",14%
12/01/2015,"75,333,292",14%
12/02/2015,"75,359,299",14%
12/03/2015,"75,387,363",14%
12/04/2015,"75,414,042",14%
12/05/2015,"75,440,624",14%
12/06/2015,"75,466,880",14%
12/07/2015,"75,493,598",14%
12/08/2015,"75,519,911",14%
12/09/2015,"75,548,235",14%
12/10/2015,"75,575,712",14%
12/11/2015,"75,602,735",14%
12/12/2015,"75,629,942",14%
12/13/2015,"75,657,849",14%
12/14/2015,"75,684,558",14%
12/15/2015,"75,711,572",14%
